,product_id,category,sub_category_name,product_name,product_brand,img_src,combo
0,1604988230_35748,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Olive Oil - Extra Light,BORGES,https://www.bigbasket.com/media/uploads/p/s/1211853_2-borges-olive-oil-extra-light.jpg,"['2 L', '1040.00']"
1,1604988230_35748,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Olive Oil - Extra Light,BORGES,https://www.bigbasket.com/media/uploads/p/s/1211853_2-borges-olive-oil-extra-light.jpg,"['1 L', '675.00']"
2,1604988230_35748,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Olive Oil - Extra Light,BORGES,https://www.bigbasket.com/media/uploads/p/s/1211853_2-borges-olive-oil-extra-light.jpg,"['2x2 L', '1981.00']"
0,1604988231_57988,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Sunflower Refined Oil - Sun Lite,Fortune,https://www.bigbasket.com/media/uploads/p/s/1204455_1-fortune-sunflower-refined-oil-sun-lite.jpg,"['1 L', '123.00']"
1,1604988231_57988,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Sunflower Refined Oil - Sun Lite,Fortune,https://www.bigbasket.com/media/uploads/p/s/1204455_1-fortune-sunflower-refined-oil-sun-lite.jpg,"['3x910 g', '369.00']"
0,1604988232_76228,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Pure Cow Ghee,Nandini,https://www.bigbasket.com/media/uploads/p/s/213273_6-nandini-pure-cow-ghee.jpg,"['1 L', '443.00']"
1,1604988232_76228,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Pure Cow Ghee,Nandini,https://www.bigbasket.com/media/uploads/p/s/213273_6-nandini-pure-cow-ghee.jpg,"['200 ml', '101.00']"
2,1604988232_76228,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Pure Cow Ghee,Nandini,https://www.bigbasket.com/media/uploads/p/s/213273_6-nandini-pure-cow-ghee.jpg,"['500 ml', '224.00']"
0,1604988234_45188,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Gold - Pro Healthy Lifestyle Edible Oil,Saffola,https://www.bigbasket.com/media/uploads/p/s/147491_7-saffola-gold-pro-healthy-lifestyle-edible-oil.jpg,"['3X1 L', '384.00']"
1,1604988234_45188,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Gold - Pro Healthy Lifestyle Edible Oil,Saffola,https://www.bigbasket.com/media/uploads/p/s/147491_7-saffola-gold-pro-healthy-lifestyle-edible-oil.jpg,"['1 L', '128.00']"
2,1604988234_45188,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Gold - Pro Healthy Lifestyle Edible Oil,Saffola,https://www.bigbasket.com/media/uploads/p/s/147491_7-saffola-gold-pro-healthy-lifestyle-edible-oil.jpg,"['2 L', '269.00']"
3,1604988234_45188,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Gold - Pro Healthy Lifestyle Edible Oil,Saffola,https://www.bigbasket.com/media/uploads/p/s/147491_7-saffola-gold-pro-healthy-lifestyle-edible-oil.jpg,"['5 L', '689.00']"
4,1604988234_45188,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Gold - Pro Healthy Lifestyle Edible Oil,Saffola,https://www.bigbasket.com/media/uploads/p/s/147491_7-saffola-gold-pro-healthy-lifestyle-edible-oil.jpg,"['2x2 L', '538.00']"
0,1604988235_95428,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Oil - Gingelly,Idhayam,https://www.bigbasket.com/media/uploads/p/s/148681_7-idhayam-oil-gingelly.jpg,"['1 L', '323.00']"
1,1604988235_95428,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Oil - Gingelly,Idhayam,https://www.bigbasket.com/media/uploads/p/s/148681_7-idhayam-oil-gingelly.jpg,"['500 ml', '164.00']"
0,1604988236_90788,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Refined - Sunflower Oil,Dhara,https://www.bigbasket.com/media/uploads/p/s/1204463_1-dhara-refined-sunflower-oil.jpg,"['5 L', '629.00']"
1,1604988236_90788,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Refined - Sunflower Oil,Dhara,https://www.bigbasket.com/media/uploads/p/s/1204463_1-dhara-refined-sunflower-oil.jpg,"['1 L', '107.00']"
2,1604988236_90788,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Refined - Sunflower Oil,Dhara,https://www.bigbasket.com/media/uploads/p/s/1204463_1-dhara-refined-sunflower-oil.jpg,"['3x1 L', '321.00']"
0,1604988237_89348,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Mustard Oil - (Kachi Ghani),Fortune,https://www.bigbasket.com/media/uploads/p/s/1204461_1-fortune-mustard-oil-kachi-ghani.jpg,"['1 L', '148.00']"
1,1604988237_89348,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Mustard Oil - (Kachi Ghani),Fortune,https://www.bigbasket.com/media/uploads/p/s/1204461_1-fortune-mustard-oil-kachi-ghani.jpg,"['5x1 L', '740.00']"
2,1604988237_89348,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Mustard Oil - (Kachi Ghani),Fortune,https://www.bigbasket.com/media/uploads/p/s/1204461_1-fortune-mustard-oil-kachi-ghani.jpg,"['500 ml', '79.00']"
3,1604988237_89348,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Mustard Oil - (Kachi Ghani),Fortune,https://www.bigbasket.com/media/uploads/p/s/1204461_1-fortune-mustard-oil-kachi-ghani.jpg,"['3x1 L', '444.00']"
0,1604988238_34148,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Pure Cow Ghee,Fresho Organic,https://www.bigbasket.com/media/uploads/p/s/1212447_2-fresho-organic-pure-cow-ghee.jpg,"['500 ml', '409.00']"
1,1604988238_34148,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Pure Cow Ghee,Fresho Organic,https://www.bigbasket.com/media/uploads/p/s/1212447_2-fresho-organic-pure-cow-ghee.jpg,"['1 L', '695.00']"
